aba,age_vehicule,agepr,nb_autre_carbu,cataeu,cs42pr,nb_diesel,dip14pr,nb_essence,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1,prix_achat,rev_disponible,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_3,distance,distance_autre_carbu,distance_diesel,distance_essence,age_vehicule.1,depenses_carburants_corrigees_emp,depenses_diesel_corrigees_emp,depenses_essence_corrigees_emp
2,2,45,0,221,21,1,44,0,0,10311,0,600,0,0,1,4,0,1,1.0,1424.672553,1691.56,0,2451.75,3404.0,1,2,1,3,1,1,0,1,0,1,0,0,0,2451.75,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0,45,0,111,85,0,71,0,0,10313,0,0,0,0,0,4,3,4,1.9,765.90380895,0.0,0,19248.0,19248.0,6,3,8,6,2,0,0,0,0,0,1,0,0,10130.5263157895,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,20,43,0,300,67,2,71,0,0,10322,0,0,0,163,1,4,3,4,2.1,464.36740086,2600.0,0,17347.3,17489.0,4,3,0,0,2,2,0,0,1,0,0,0,0,8260.61904761905,1,1,1_1,27662.487317,0.0,27662.487317,0.0,19,2171.0991966241077,2171.0991966241077,0.0
0,0,55,0,112,67,0,71,0,0,1033,0,0,0,0,1,2,0,1,1.0,3467.4019257,0.0,0,9179.25,9189.0,4,3,7,0,1,0,0,0,1,0,0,0,0,9179.25,1,1,1_1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,11,46,0,111,67,1,71,0,0,10331,0,0,0,0,2,5,3,5,2.4,1493.0446051,0.0,0,23561.65,23613.0,4,3,8,7,4,1,0,0,0,0,0,1,0,9817.35416666667,1,1,1_0,12844.626085,0.0,12844.626085,0.0,10,1105.3955512131204,1105.3955512131204,0.0
0,0,51,0,111,85,0,71,0,0,10334,0,0,0,0,0,4,7,8,4.1,721.05896693,0.0,0,37206.0,37206.0,6,3,8,7,2,0,0,0,0,0,0,1,0,9074.63414634146,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0,62,0,111,77,0,70,0,0,1034,0,0,0,114,0,1,0,1,1.0,4387.2626441,0.0,0,9535.0,9473.0,5,3,10,8,1,0,0,0,0,0,0,0,1,9535.0,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,12,86,0,111,72,0,70,1,0,10353,0,0,0,0,0,3,0,1,1.0,3426.7617214,0.0,0,9621.65,10570.0,5,4,8,6,1,1,0,0,0,0,1,0,0,9621.65,1,1,1_0,2129.2517483,0.0,0.0,2129.2517483,9,183.2412554797681,0.0,183.2412554797681
2,33,74,0,111,72,1,50,1,0,10362,0,0,0,0,0,5,0,2,1.5,2930.4700373,0.0,0,15469.65,16782.0,5,1,8,6,3,2,0,0,0,0,1,0,0,10313.1,1,1,1_0,1442.2019723,0.0,1442.2019723,0.0,28,124.11444549506386,124.11444549506386,0.0
2,11,66,0,120,78,1,70,0,0,10377,0,0,0,0,0,4,0,2,1.5,465.4229148,2340.0,0,14103.768360674,14620.0,5,1,0,0,3,1,0,0,1,0,0,0,0,9402.51224044933,1,1,1_1,4670.7826034,0.0,4670.7826034,0.0,13,366.58787193064904,366.58787193064904,0.0
0,9,39,0,111,85,1,43,0,0,10378,0,0,0,30,0,4,2,4,2.1,2955.7941327,1560.0,0,12136.0,12136.0,7,3,9,7,4,1,0,0,0,0,0,1,0,5779.04761904762,1,1,1_0,2000.0,0.0,2000.0,0.0,8,172.11798053101836,172.11798053101836,0.0
2,22,33,0,400,13,1,30,0,0,1038,0,0,0,0,1,2,0,1,1.0,2685.4107636,0.0,0,4367.15,1925.0,1,1,0,0,1,1,1,0,1,0,0,0,0,4367.15,1,1,1_1,5000.0,0.0,5000.0,0.0,20,392.4266049802863,392.4266049802863,0.0
0,24,75,0,300,86,1,71,0,0,10389,0,0,0,0,1,3,1,2,1.5,2573.1485392,2600.0,0,10574.0,10574.0,5,3,0,0,2,1,0,0,1,0,0,0,0,7049.33333333333,1,1,1_1,2852.4074074,0.0,2852.4074074,0.0,18,223.87211098132047,223.87211098132047,0.0
0,0,19,0,111,85,0,60,0,0,1039,0,0,0,0,0,4,1,2,1.3,1430.4029414,0.0,0,12256.0,12256.0,6,3,7,5,2,0,0,0,0,0,1,0,0,9427.69230769231,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,15,22,0,111,84,0,41,1,0,10390,0,0,0,255,0,2,0,1,1.0,2153.4042444,0.0,0,2059.7,2724.0,3,3,8,7,1,1,0,0,0,0,0,1,0,2059.7,1,1,1_0,21576.136425,0.0,0.0,21576.136425,15,1856.8205145663733,0.0,1856.8205145663733
2,9,51,0,112,54,1,31,0,0,10418,0,250,0,0,1,5,2,4,2.5,2502.6762457,0.0,0,23912.1,26522.0,1,2,8,0,4,1,0,1,1,0,0,0,0,9564.84,1,1,1_1,14630.031769,0.0,14630.031769,0.0,11,1148.2427395724803,1148.2427395724803,0.0
1,16,49,0,221,68,4,50,0,0,1043,0,30,0,0,2,4,2,4,2.3,2546.2909973,3191.76,0,22155.85,22696.0,1,2,1,1,4,4,0,0,0,1,0,0,0,9632.97826086957,1,1,1_0,38320.17095,0.0,38320.17095,0.0,20,3297.795218758698,3297.795218758698,0.0
0,30,51,0,111,55,0,60,1,0,10453,0,0,0,324,2,4,4,6,3.1,3228.9318222,0.0,0,28410.25,28433.0,1,3,10,8,4,1,0,0,0,0,0,0,1,9164.59677419355,1,1,1_0,3550.6561361,0.0,0.0,3550.6561361,25,305.5658818528004,0.0,305.5658818528004
2,8,65,0,300,13,2,50,0,0,10455,0,0,0,0,1,4,0,1,1.0,2617.4685285,0.0,0,2340.9,2584.0,1,1,0,0,1,2,0,0,1,0,0,0,0,2340.9,1,1,1_1,41885.2706878,0.0,41885.2706878,0.0,6,3287.378914938731,3287.378914938731,0.0
0,0,22,0,111,84,0,41,0,0,10457,0,0,0,260,0,1,0,1,1.0,4575.5069288,0.0,0,7974.0,8130.0,3,3,9,7,1,0,0,0,0,0,0,1,0,7974.0,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
