"aba","age_vehicule","agepr","nb_autre_carbu","cataeu","cs42pr","nb_diesel","dip14pr","nb_essence","etat_veh_achat","ident_men","km_autre_carbu","km_diesel","km_essence","mloy_d","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_07_2_2_1","prix_achat","rev_disponible","revtot","situapr","stalog","tau","tuu","typmen","veh_tot","vp_deplacements_pro","vp_domicile_travail","rural","petite_ville","moyenne_ville","grande_ville","paris","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_3","distance","distance_autre_carbu","distance_diesel","distance_essence"
0,9,38,0,111,38,1,12,0,0,11435,0,250,0,380,1,3,0,1,1,3834.1894089,3586.96,0,36299.3,38930,1,3,10,8,1,1,0,1,0,0,0,0,1,36299.3,10,5,"10_0",33913.2315003,0,24117.875355,9795.3561453
2,6,47,0,111,38,1,31,0,0,1146,0,400,0,0,2,5,0,2,1.5,1953.0858717,0,0,64689.65,74869,1,1,10,8,3,1,0,1,0,0,0,0,1,43126.4333333333,10,5,"10_0",15619.454947,0,0,15619.454947
2,9,88,0,111,75,0,41,1,0,1148,0,0,0,0,0,6,0,1,1,3411.7275748,0,0,40389.6,43315,5,1,8,7,1,1,0,0,0,0,0,1,0,40389.6,10,5,"10_0",15619.454947,0,0,15619.454947
2,5,36,0,111,38,1,20,0,0,11510,0,800,0,0,2,4,2,4,2.1,2371.9549782,3016,0,76436.65,80634,1,2,7,5,4,1,0,1,0,0,1,0,0,36398.4047619048,10,5,"10_0",27504.373953,0,27504.373953,0
0,16,57,0,111,37,1,41,0,0,11529,0,0,0,671,1,3,0,1,1,2163.6315446,0,0,38330.05,44210,1,3,9,7,1,1,0,0,0,0,0,1,0,38330.05,10,5,"10_0",15619.454947,0,0,15619.454947
2,2,66,0,111,75,1,60,1,0,11548,0,0,0,0,0,5,0,2,1.5,1792.3010749,0,0,57822.85,62751,5,1,10,8,3,2,0,0,0,0,0,0,1,38548.5666666667,10,5,"10_0",15619.454947,0,0,15619.454947
2,11,62,0,111,43,2,31,0,0,11551,0,0,0,0,1,6,0,2,1.5,2308.4486041,2860,0,56486.48893998,63730,1,1,7,6,3,2,0,0,0,0,1,0,0,37657.65929332,10,5,"10_0",26265.1758737,0,19843.654434,6421.5214397
2,4,57,0,112,22,1,31,2,0,11554,0,0,60,0,2,9,2,4,2.5,1677.7625921,0,0,126389.6916482,161404,1,1,9,2,4,3,0,0,0,1,0,0,0,50555.87665928,10,5,"10_0",15619.454947,0,0,15619.454947
2,22,63,0,111,74,0,20,2,0,11556,0,0,0,0,0,5,0,2,1.5,1906.9183605,0,0,58779.95,68536,5,1,8,7,3,2,0,0,0,0,0,1,0,39186.6333333333,10,5,"10_0",15619.454947,0,0,15619.454947
2,8,72,0,112,74,0,20,2,0,11591,0,0,300,0,0,3,0,2,1.5,4487.341509,5010.72,0,75181.95,79469,5,1,7,1,3,2,0,1,0,1,0,0,0,50121.3,10,5,"10_0",41035.493877,0,30007.67471,11027.819167
2,3,81,0,111,74,0,41,2,0,11592,0,0,0,0,0,7,0,2,1.5,1692.2476315,0,0,65575.9,75637,5,4,8,7,3,2,0,0,0,0,0,1,0,43717.2666666667,10,5,"10_0",15619.454947,0,0,15619.454947
2,0,70,0,111,31,0,12,0,0,11600,0,0,0,0,1,4,0,1,1,2361.7136951,0,0,45455.3,55200,1,1,10,8,1,0,0,0,0,0,0,0,1,45455.3,10,5,"10_0",15619.454947,0,0,15619.454947
2,3,57,0,112,34,1,30,0,0,11601,0,250,0,0,2,7,0,3,2,3111.6618299,2633.8,0,94595.3,111491,1,1,9,2,5,1,0,1,0,1,0,0,0,47297.65,10,5,"10_0",24847.546833,0,0,24847.546833
2,1,75,0,111,75,0,50,2,1,11606,0,0,0,0,0,4,0,2,1.5,2237.0268744,2964,17956,55239.8467109335,58589,5,1,9,7,3,2,0,0,0,0,0,1,0,36826.5644739557,10,5,"10_0",26749.285714,0,26749.285714,0
2,6,30,0,111,47,0,20,2,0,11608,0,0,200,0,2,3,0,2,1.5,4128.7130375,2726.88,0,53961.4275128075,59075,1,2,9,7,3,2,0,1,0,0,0,1,0,35974.2850085383,10,5,"10_0",25138.0621281,0,25138.0621281,0
0,7,57,0,112,74,1,60,1,0,11612,0,0,40,817,1,5,0,2,1.5,1649.3349545,2753.92,0,56907.35,62939,5,3,9,3,3,2,0,0,0,1,0,0,0,37938.2333333333,10,5,"10_0",25270.1306186,0,7014.5902778,18255.5403408
2,11,64,0,112,75,1,50,1,0,11616,0,0,0,0,0,4,0,2,1.5,1299.8286166,5521.36,0,64784.05,71719,5,1,9,3,3,2,0,0,0,1,0,0,0,43189.3666666667,10,5,"10_0",46383.894736,0,0,46383.894736
0,0,61,0,111,33,0,71,0,0,11620,0,0,0,693,2,4,0,2,1.5,2797.8921219,0,0,71776.4630758745,86926,1,3,10,8,3,0,0,0,0,0,0,0,1,47850.9753839163,10,5,"10_0",15619.454947,0,0,15619.454947
0,0,28,0,111,34,0,10,0,0,11625,0,0,0,900,2,2,0,2,1.5,5370.325489,0,0,59018.4,64100,1,3,10,8,3,0,0,0,0,0,0,0,1,39345.6,10,5,"10_0",15619.454947,0,0,15619.454947
2,11,40,0,111,38,1,12,0,0,11652,0,150,0,0,2,6,1,3,1.8,660.29978742,6916,0,71150.45,79310,1,2,9,7,4,1,1,1,0,0,0,1,0,39528.0277777778,10,5,"10_0",74656.1110405,0,65993.950539,8662.1605015
2,0,45,0,112,46,0,41,0,0,11672,0,0,0,0,2,5,2,4,2.5,2043.6192898,0,0,110134.95,118344,1,1,9,3,4,0,0,0,0,1,0,0,0,44053.98,10,5,"10_0",15619.454947,0,0,15619.454947
