,ident,pondmen,agepr,cataeu,cs42pr,ppa,ocde10,nactifs,nactoccup,npers,nivviem,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_etranger,rev_valeurs_mobilieres_bruts,revdecm,rev_disponible,salaires,,stalog,tau,mhab_d,tuu,typmen,donation_class_1
11231,17011447,421.11926621,32,112,63.0,0,2.1,2,2,4,24950.47619,0,0,0,0,0,0,52340,52400,48130,1,,5,230,0,4,2
11232,17011448,300.59465151,61,112,33.0,0,1.5,2,2,2,44278.0,0,0,0,45250,0,0,74670,66420,100,1,,9,1360,3,3,2
11233,17011449,554.67171918,45,111,67.0,3120,2.4,1,1,5,13747.916667,0,0,0,0,0,0,22800,33000,22000,1,,10,170,8,4,1
11234,17011450,343.39247864,44,300,55.0,2120,1.8,1,1,3,13709.444444,0,0,0,0,0,400,21150,24680,18430,2,,0,340,1,2,1
11235,17011451,400.19072186,74,111,75.0,0,1.5,0,0,2,39882.0,0,0,0,67420,0,10,69540,59820,0,1,,10,560,8,3,0
11236,17011452,204.91938212,33,112,77.0,0,1.9,0,0,4,10980.526316,0,3510,0,0,0,0,0,20860,0,2,,8,0,1,2,0
11237,17011453,366.62197978,74,111,75.0,0,1.5,0,0,2,20945.333333,0,0,0,32540,0,60,33620,31420,0,1,,8,820,6,3,0
11238,17011454,401.52196069,30,112,68.0,0,1.8,2,2,3,33081.111111,0,0,0,0,0,0,63480,59550,61270,1,,10,550,0,4,2
11239,17011455,570.94119238,45,111,34.0,0,2.5,2,2,4,56462.0,0,0,0,0,0,0,168870,141160,159310,1,,10,2240,8,4,2
11240,17011456,494.55187601,74,112,77.0,0,1.0,0,0,1,32802.0,0,0,0,36250,0,0,37390,32800,0,2,,7,570,0,1,0
11241,17011457,739.01719403,76,112,74.0,0,1.0,0,0,1,21308.0,0,0,0,4950,0,320,26510,21310,0,1,,9,0,3,1,0
11242,17011458,672.19451737,63,111,62.0,0,1.5,2,2,2,34722.0,0,0,0,0,0,20,55810,52080,53850,1,,9,810,7,3,2
11243,17011459,390.46001555,65,111,78.0,0,1.5,0,0,2,17354.666667,0,0,0,23740,0,0,24200,26030,0,1,2.0,5,610,4,3,0
11244,17011460,381.9893699,53,300,46.0,0,2.0,2,2,3,19926.5,0,0,0,0,0,10,43150,39850,41640,1,,0,790,0,4,2
11245,17011461,410.67030414,92,111,74.0,0,1.0,0,0,1,31629.0,0,0,0,31660,0,3310,35960,31630,0,1,,9,1800,7,1,0
11246,17011462,588.99611343,64,111,75.0,0,1.0,0,0,1,21574.0,0,0,0,20700,0,3750,25100,21570,0,1,4.0,9,680,7,1,0
11247,17011463,953.73185497,27,111,84.0,0,1.0,0,0,1,2683.0,0,0,0,0,0,0,0,2680,0,1,,9,0,7,1,0
11248,17011464,751.89226491,88,112,71.0,0,1.0,0,0,1,31932.0,0,0,0,15020,0,2130,17980,31930,0,2,,8,0,0,1,0
11249,17011465,656.83581461,70,111,74.0,0,1.5,0,0,2,40141.333333,0,0,0,59510,0,940,68190,60210,0,1,,10,2610,8,3,0
11250,17011466,941.79554727,85,111,74.0,0,1.0,0,0,1,44183.0,0,0,0,41930,0,720,43970,44180,0,1,2.0,8,1050,6,1,0
11251,17011467,404.85769312,46,111,62.0,0,1.0,1,1,1,30651.0,0,0,0,0,0,0,34710,30650,36980,1,,9,1080,7,1,1
11252,17011468,293.01805694,55,111,22.0,0,1.5,2,2,2,15737.333333,0,0,0,0,0,0,26640,23610,24060,1,,7,1200,5,3,2
11253,17011469,517.5129805,67,111,77.0,0,1.0,0,0,1,13190.0,0,0,0,11320,0,0,11400,13190,0,2,,9,0,7,1,0
11254,17011470,335.14222294,45,221,48.0,0,1.8,2,2,3,34507.777778,0,0,0,0,0,30,65770,62110,59870,1,1.0,1,1050,2,4,2
11255,17011471,241.85960189,42,111,67.0,0,2.0,2,2,3,19531.0,0,0,0,0,0,0,41440,39060,40000,1,,5,990,4,4,2
11256,17011472,600.16626325,81,112,72.0,0,1.5,0,0,2,19164.666667,0,0,0,29560,0,0,30330,28750,0,1,,8,840,0,3,0
11257,17011473,628.42392983,88,111,74.0,0,1.0,0,0,1,88742.0,0,0,0,105020,0,640,109130,88740,0,1,2.0,10,4110,8,1,0
11258,17011474,420.24332112,54,111,78.0,0,1.0,0,0,1,5820.0,0,5820,0,0,0,0,0,5820,0,2,,9,0,7,1,0
11259,17011475,1148.2254262,49,120,47.0,0,2.3,2,1,4,15678.695652,0,0,0,0,0,0,36190,36060,32770,1,,0,540,1,4,2
11260,17011476,897.67893543,20,111,84.0,0,1.0,0,0,1,1862.0,0,0,0,0,0,0,0,1860,0,1,5.0,9,0,7,1,0
11261,17011477,850.27060755,27,111,35.0,0,1.5,2,2,2,55640.0,0,0,0,0,0,30,102810,83460,88060,1,2.0,10,1030,8,3,2
11262,17011478,293.98331426,40,111,53.0,0,3.0,1,0,7,8947.3333333,0,7420,0,0,0,0,490,26840,0,1,,8,0,6,4,1
11263,17011479,248.31262557,71,120,75.0,0,1.5,0,0,2,28596.666667,0,0,0,40930,0,0,42380,42900,0,1,,0,530,1,3,0
11264,17011480,668.56873482,62,112,69.0,0,1.5,2,2,2,19686.666667,0,0,0,6500,0,1170,30950,29530,0,1,2.0,8,540,0,3,2
11265,17011481,507.19702501,58,112,52.0,1040,1.0,1,1,1,18740.0,0,0,0,0,0,0,18760,18740,18100,2,3.0,7,400,0,1,1
11266,17011482,313.75822396,84,112,75.0,0,1.0,0,0,1,14503.0,0,0,0,14330,0,180,14600,14500,0,1,,8,0,1,1,0
11267,17011483,428.53760664,84,111,74.0,0,1.0,0,0,1,45670.0,0,0,0,54740,0,0,56460,45670,0,1,,8,1890,7,1,0
11268,17011484,471.12661786,68,111,75.0,0,1.5,1,1,2,35192.666667,0,0,0,22990,0,400,59120,52790,33790,1,2.0,6,700,5,3,1
11269,17011485,305.00687804,45,111,38.0,0,2.3,2,2,4,36026.956522,0,0,0,0,0,0,91960,82860,88760,1,,9,1580,7,4,2
11270,17011486,277.41453108,62,111,77.0,0,1.5,0,0,2,21668.0,0,0,0,29290,0,0,29660,32500,0,1,2.0,9,680,7,3,0
11271,17011487,641.67131509,58,111,47.0,680,1.5,2,2,2,23804.0,0,0,0,0,0,0,36580,35710,29200,2,,9,450,7,2,2
11272,17011488,445.12338127,71,111,72.0,0,1.0,0,0,1,14467.0,0,0,0,10780,0,0,14350,14470,0,2,,8,0,6,1,0
11273,17011489,743.8074283,25,111,38.0,0,1.0,1,1,1,28800.0,0,0,0,0,0,0,31990,28800,30870,1,,9,350,7,1,1
11274,17011490,465.75458769,48,111,47.0,0,1.5,2,2,2,32356.666667,0,0,0,0,0,90,54260,48540,49710,1,,9,610,7,3,2
11275,17011491,605.73880181,80,120,75.0,0,1.0,0,0,1,15706.0,0,0,0,15640,0,0,15770,15710,0,2,,0,430,1,1,0
11276,17011492,430.85528806,81,112,78.0,0,1.5,0,0,2,33988.0,0,0,0,21600,0,1570,25520,50980,0,1,,9,380,0,3,0
11277,17011493,147.81045107,42,111,38.0,0,2.5,1,1,4,27568.4,0,0,0,0,0,60,72560,68920,69980,1,,7,890,5,4,1
11278,17011494,427.72810349,66,111,74.0,0,1.5,0,0,2,41455.333333,0,0,0,48330,0,6630,71630,62180,0,1,,9,1280,7,3,0
11279,17011495,258.03548586,82,112,77.0,0,1.0,0,0,1,15752.0,0,0,0,15670,0,0,15810,15750,0,2,,8,0,2,1,0
11280,17011496,325.43327534,88,112,71.0,0,1.0,0,0,1,19083.0,0,0,0,17840,0,1570,19970,19080,0,2,,5,0,0,1,0
11281,17011497,549.81840932,56,111,63.0,0,1.5,2,2,2,29537.333333,0,0,0,0,0,780,50490,44310,47990,1,3.0,10,1310,8,3,2
11282,17011498,463.02074878,26,111,67.0,680,1.3,1,1,2,17596.153846,0,0,0,0,0,0,18470,22880,15670,2,,7,140,5,2,1
11283,17011499,844.90642034,34,111,43.0,0,1.0,1,1,1,19638.0,0,0,0,0,0,0,19840,19640,19150,2,,10,250,8,1,1
11284,17011500,547.93193024,77,111,77.0,0,1.0,0,0,1,14211.0,0,0,0,14210,0,0,14290,14210,0,2,,8,0,7,1,0
11285,17011501,550.36803689,55,111,74.0,0,1.0,0,0,1,21281.0,9530,0,0,0,0,340,6680,21280,610,1,1.0,5,0,4,1,0
11286,17011502,513.36249172,34,111,21.0,600,2.4,1,0,5,5414.5833333,0,2070,0,0,0,0,600,13000,580,1,,7,10,5,4,1
11287,17011503,795.0539358,55,111,53.0,0,1.0,1,1,1,4098.0,0,0,0,0,0,0,0,4100,0,1,,9,440,7,1,1
11288,17011505,488.0208086,55,112,46.0,0,1.5,2,2,2,33798.0,0,0,0,0,0,10,56070,50700,54110,1,2.0,8,500,0,3,2
11289,17011506,581.52105501,49,111,63.0,0,3.3,2,2,6,14946.363636,0,0,0,0,0,0,36040,49320,34790,1,,10,280,8,4,2
11290,17011507,457.22038845,55,112,13.0,0,1.8,2,2,3,23233.333333,0,0,0,0,0,1500,45540,41820,20660,1,,9,220,0,4,2
11291,17011508,560.78460658,77,111,74.0,0,1.5,0,0,2,53290.666667,0,0,0,89830,0,2120,100810,79940,0,1,2.0,9,1070,7,3,0
11292,17011509,721.63708924,64,112,43.0,0,1.0,1,1,1,38398.0,0,0,0,19560,0,0,47690,38400,26560,2,,9,680,0,1,1
11293,17011510,498.0369813,30,120,54.0,0,1.0,1,1,1,20157.0,0,0,0,0,0,0,21660,20160,20910,2,,0,340,0,1,1
11294,17011511,517.53326997,45,112,48.0,0,2.6,2,2,5,22658.846154,0,0,0,0,0,0,49610,58910,47880,1,,9,320,0,4,2
11295,17011512,198.6420509,47,120,65.0,0,2.6,2,2,5,15465.0,0,0,0,0,0,0,34300,40210,31020,1,1.0,0,530,0,4,2
11296,17011513,485.59797862,36,111,56.0,290,1.6,1,1,3,12980.0,0,910,0,0,0,0,12550,20770,8340,2,3.0,10,180,8,2,1
11297,17011514,369.01977261,55,111,67.0,0,1.5,2,2,2,35434.0,0,0,0,0,0,20,56380,53150,54410,1,,8,560,7,3,2
11298,17011515,639.21149945,42,112,64.0,0,2.0,2,2,3,16849.0,0,0,0,0,0,0,35260,33700,34040,1,,9,480,1,4,2
11299,17011516,551.80932194,47,111,37.0,0,2.3,2,2,4,23573.043478,0,0,0,0,0,0,58330,54220,56300,1,,9,810,7,4,2
11300,17011517,701.35232244,33,111,68.0,420,1.3,1,1,2,18169.230769,0,0,0,0,0,0,19770,23620,13830,2,,9,390,7,2,1
11301,17011518,703.40923937,48,112,46.0,0,2.0,2,2,3,19831.0,0,0,0,0,0,20,41540,39660,40090,1,,9,910,1,4,2
11302,17011519,507.82220098,83,111,75.0,0,1.5,0,0,2,27913.333333,0,0,0,40500,0,1240,43010,41870,0,1,,10,1580,8,3,0
11303,17011520,498.95093935,50,120,78.0,0,1.0,0,0,1,17987.9224,4120,0,0,0,0,0,12110,17990,0,1,,0,0,1,1,0
11304,17011521,363.88052599,52,112,72.0,0,2.8,2,2,5,26058.571429,0,0,0,0,0,10,78430,72960,72980,1,,10,1020,1,4,2
11305,17011522,386.61511094,49,111,34.0,0,1.8,2,2,3,38197.466667,0,0,0,0,0,50,77260,68760,56160,1,,9,1360,7,4,2
11306,17011523,452.95719942,63,111,75.0,0,1.5,1,1,2,27253.333333,0,0,0,30030,0,40,41510,40880,0,1,,9,1230,7,3,1
11307,17011524,691.61630844,66,211,75.0,0,1.0,0,0,1,17921.0,0,0,0,18700,0,0,19280,17920,0,1,,2,480,3,1,0
11308,17011525,297.08189777,67,300,75.0,0,1.0,0,0,1,21971.0,0,0,0,19090,0,30,25960,21970,0,2,,0,830,0,1,0
11309,17011526,988.13376755,32,211,68.0,2420,2.6,3,1,5,9896.5384615,0,0,0,0,0,0,14410,25730,13910,1,,2,50,3,4,3
11310,17011527,294.76702099,49,111,54.0,0,2.3,2,2,4,21005.652174,0,0,0,0,0,0,49340,48310,47620,1,,8,820,7,4,2
11311,17011528,263.55791615,70,111,74.0,0,1.5,0,0,2,28293.333333,0,0,0,45160,0,0,46580,42440,0,1,,7,950,5,3,0
11312,17011529,546.6368201,65,111,75.0,0,1.0,0,0,1,24971.37,0,0,0,21590,0,750,22660,24970,0,1,,10,730,8,1,0
11313,17011530,516.96165302,47,111,54.0,0,2.3,2,2,4,21644.347826,0,0,0,0,0,10,47480,49780,45820,1,,10,850,8,4,2
11314,17011531,589.80134401,65,111,46.0,0,1.0,1,1,1,40057.0,0,0,0,6280,0,0,52300,40060,40550,2,,10,920,8,1,1
11315,17011532,374.735676,38,111,63.0,520,1.3,1,1,2,13993.076923,0,0,0,0,0,0,13760,18190,6930,2,,8,250,6,2,1
11316,17011534,364.51776417,74,112,77.0,0,1.0,0,0,1,82526.0,0,0,0,41220,0,31660,106330,82530,17290,2,,8,0,0,1,0
11317,17011535,489.16323244,59,111,22.0,0,1.8,1,1,3,10116.666667,0,0,0,0,0,0,18340,18210,0,1,,7,230,6,4,1
11318,17011536,329.70675061,35,111,52.0,2560,2.6,2,1,5,12627.307692,0,5180,0,0,0,0,11810,32830,8370,1,,9,0,7,4,2
11319,17011537,431.12073889,64,400,78.0,0,1.0,0,0,1,21286.0,0,0,0,18860,0,0,19460,21290,0,1,,0,0,0,1,0
11320,17011538,659.03153802,28,112,67.0,120,2.1,1,0,4,13075.238095,0,0,0,0,0,0,25850,27460,21410,1,,9,70,3,4,1
11321,17011539,389.86229273,78,111,77.0,0,1.0,0,0,1,17208.0,0,0,0,17210,0,0,17440,17210,0,2,,9,0,7,1,0
11322,17011540,585.23330048,90,221,78.0,0,1.0,0,0,1,16548.0,0,0,0,16060,0,40,16240,16550,0,2,,1,250,1,1,0
11323,17011541,605.79709147,62,111,77.0,680,2.0,2,0,3,24447.6464,0,0,0,13590,0,0,44250,48900,5960,1,,9,1000,7,4,2
11324,17011542,531.78478102,61,111,75.0,0,1.5,1,1,2,21772.0,0,0,0,8000,0,10,38780,32660,29460,2,,10,1740,8,2,1
11325,17011543,516.47804619,27,111,38.0,0,1.0,1,1,1,23254.0,0,0,0,0,0,0,24980,23250,24110,1,1.0,9,580,7,1,1
11326,17011544,584.76269384,67,112,77.0,0,1.5,0,0,2,37453.333333,0,0,0,64470,0,1460,67950,56180,0,1,2.0,10,1710,4,3,0
11327,17011545,549.98583809,25,111,81.0,0,1.0,1,0,1,6550.0,0,0,0,0,0,0,5020,6550,4850,2,,8,0,7,1,1
11328,17011546,390.09821389,91,120,75.0,0,1.0,0,0,1,20560.0,0,0,0,20850,0,0,21500,20560,0,2,,0,520,1,1,0
11329,17011547,684.86131875,80,111,77.0,0,1.0,0,0,1,14726.0,0,0,0,14660,0,0,14790,14730,0,2,,9,0,7,1,0
11330,17011548,408.57461271,59,111,67.0,0,1.5,2,0,2,13295.333333,0,0,0,0,0,0,20600,19940,7290,1,,9,390,7,3,2
11331,17011549,609.38382211,38,112,31.0,0,2.4,2,2,5,46494.583333,0,0,0,0,0,130,127250,111590,23990,1,,9,410,1,4,2
11332,17011550,593.77470794,50,400,67.0,2070,1.0,1,1,1,16480.0,0,0,0,0,0,0,15070,16480,14550,1,4.0,0,210,0,1,1
11333,17011551,552.23602913,58,120,48.0,0,1.5,1,1,2,25439.333333,0,0,0,0,0,10,42530,38160,41050,1,,0,570,0,3,1
11334,17011552,333.50129775,45,111,33.0,0,1.8,2,2,3,33150.555556,0,0,0,0,0,2980,64030,59670,58870,1,,8,1520,7,4,2
11335,17011553,591.62757448,35,111,62.0,0,1.5,1,1,2,21365.333333,0,0,0,0,0,0,33830,32050,32650,2,,9,670,7,2,1
11336,17011554,545.05431135,29,111,78.0,640,1.0,0,0,1,18119.0,0,0,0,0,0,0,17720,18120,16030,1,4.0,9,370,7,1,0
11337,17011555,469.87066784,59,300,13.0,0,1.0,1,1,1,18898.0,0,0,0,0,0,10,20120,18900,0,1,,0,520,1,1,1
11338,17011556,432.40802239,75,111,74.0,0,1.5,0,0,2,24420.666667,0,0,0,38240,0,0,39440,36630,0,1,,9,1130,7,3,0
11339,17011557,572.93746484,66,111,54.0,300,1.0,1,1,1,17321.0,0,0,0,0,0,0,17540,17320,16930,2,,10,0,8,1,1
11340,17011558,535.09811903,58,211,78.0,0,1.0,0,0,1,10339.9004,0,0,0,0,0,0,8660,10340,0,1,,4,130,4,1,0
11341,17011559,1308.1162921,37,111,42.0,0,1.0,1,1,1,24999.0,0,0,0,0,0,0,27430,25000,26470,1,,10,270,8,1,1
11342,17011560,919.75962838,81,111,77.0,0,1.0,0,0,1,18595.0,0,0,0,19580,0,0,20190,18600,0,2,,10,490,8,1,0
11343,17011561,272.44600395,23,112,69.0,0,1.5,2,1,2,23040.666667,0,0,0,0,0,0,28390,34560,26300,1,4.0,8,600,2,3,2
11344,17011562,1009.9221507,69,111,74.0,0,1.5,0,0,2,17937.333333,0,0,0,25150,0,0,26590,26910,1210,1,,9,480,7,3,0
11345,17011563,423.18091604,47,111,43.0,0,2.0,2,2,3,27665.5,0,0,0,0,0,0,50860,55330,47940,2,,8,570,6,2,2
11346,17011564,459.39120744,66,112,78.0,0,1.0,0,0,1,36648.0,0,0,0,44070,0,0,45450,36650,0,1,1.0,8,0,0,1,0
11347,17011565,568.92863716,58,111,31.0,0,1.5,2,2,2,218482.08,0,0,0,0,0,25910,148460,327720,0,1,,10,2260,8,3,2
11348,17011566,328.72502605,73,300,75.0,0,1.0,0,0,1,25901.0,0,0,0,24690,0,0,22800,25900,0,2,,0,0,0,1,0
11349,17011567,381.5608079,77,400,77.0,0,1.0,0,0,1,19908.0,0,0,0,16060,0,30,22280,19910,0,2,,0,610,0,1,0
11350,17011568,359.96987614,62,221,78.0,0,1.0,0,0,1,24546.0,0,0,0,22390,0,0,27210,24550,0,1,,1,160,2,1,0
11351,17011569,359.23500682,66,111,31.0,0,1.5,1,1,2,13613.766667,0,0,0,20100,0,0,20360,20420,0,1,,9,0,7,3,1
11352,17011570,547.12115667,47,111,37.0,0,1.0,1,1,1,29701.0,0,0,0,0,0,0,34380,29700,33190,2,,9,860,7,1,1
11353,17011571,803.28687647,31,111,77.0,0,1.0,0,0,1,10244.0,9600,0,0,0,0,0,670,10240,640,1,6.0,9,0,7,1,0
11354,17011572,445.69820316,61,112,56.0,0,1.0,1,1,1,19052.0,0,0,0,5390,0,0,19570,19050,13650,2,,8,0,0,1,1
11355,17011573,383.00778468,60,111,77.0,0,2.5,3,3,4,13383.6,0,0,0,0,0,60,34760,33460,15850,2,,8,830,6,2,3
11356,17011574,695.31584185,28,111,38.0,0,1.5,2,2,2,36417.333333,0,0,0,0,0,0,61820,54630,59670,1,,10,500,8,3,2
11357,17011575,395.81827046,87,112,78.0,0,1.5,0,0,2,38702.0,0,0,0,37770,0,3060,59050,58050,0,1,,8,430,0,3,0
11358,17011576,383.84941011,65,112,71.0,0,1.5,0,0,2,44594.666667,0,0,0,31920,0,0,68450,66890,0,1,,8,690,0,3,0
11359,17011577,901.57120954,53,112,48.0,800,1.8,2,0,3,10308.888889,0,9910,0,0,0,0,1310,18560,1270,1,,8,0,1,4,2
11360,17011578,417.27529125,85,211,75.0,0,1.0,0,0,1,17941.4,0,0,0,16410,0,440,17360,17940,0,2,,4,0,3,1,0
11361,17011579,648.78602018,48,111,45.0,0,1.8,1,1,3,25295.0,0,0,0,0,0,200,42570,45530,25840,2,,8,370,6,2,1
11362,17011580,498.29479873,47,111,34.0,0,3.0,2,2,5,38581.0,0,0,0,0,0,10,136040,115740,131300,1,,10,1500,8,4,2
11363,17011581,521.2458694,49,111,47.0,0,2.5,3,2,4,18743.6,0,0,0,0,0,0,49380,46860,47660,1,,7,1020,6,4,3
11364,17011582,535.18484985,76,111,75.0,0,1.0,0,0,1,30523.0,0,0,0,28300,0,2670,31860,30520,0,2,2.0,9,0,7,1,0
11365,17011583,547.99997546,20,111,84.0,0,1.0,0,0,1,-686.0,0,0,0,0,0,0,0,-690,0,2,,8,710,7,1,0
11366,17011584,373.75957855,57,111,78.0,0,2.3,1,1,4,25140.869565,0,0,0,8010,0,420,60460,57820,49980,1,3.0,10,600,8,4,1
11367,17011585,492.52178634,68,400,77.0,0,1.5,0,0,2,19991.333333,0,0,0,30090,0,0,30470,29990,0,1,,0,290,0,3,0
11368,17011586,583.09998473,38,221,63.0,0,2.7,1,1,6,12200.0,0,0,0,0,0,0,19850,32940,19160,1,3.0,1,50,3,4,1
11369,17011587,266.10580084,57,112,13.0,0,2.5,2,2,4,23367.2,0,0,0,11610,0,10,63990,58420,0,1,2.0,8,1390,1,4,2
11370,17011588,280.69369908,29,221,55.0,0,1.5,2,2,2,27227.333333,0,0,0,0,25620,0,38660,40840,14320,1,,1,830,2,3,2
11371,17011589,529.06522754,35,112,64.0,2130,2.3,2,1,4,18135.652174,0,0,0,0,0,0,33840,41710,23790,1,,9,250,0,4,2
11372,17011590,286.27143338,68,300,72.0,0,1.0,0,0,1,8567.0,0,0,0,8560,0,0,8610,8570,0,2,,0,0,1,1,0
11373,17011591,600.95998298,40,111,67.0,2350,2.1,2,2,4,14420.0,0,0,0,0,0,0,27520,30280,26560,1,4.0,9,140,7,4,2
11374,17011592,806.02727631,40,111,37.0,0,1.3,1,1,2,20660.0,0,0,0,0,0,0,30280,26860,29220,2,1.0,7,790,5,2,1
11375,17011593,1056.76611,39,112,62.0,0,1.0,1,1,1,18529.0,0,0,0,0,0,0,18060,18530,17430,1,,8,330,1,1,1
11376,17011594,874.60362412,72,111,74.0,0,1.0,0,0,1,24295.0,0,0,0,21520,0,70,21910,24300,0,2,,9,540,7,1,0
11377,17011595,401.88070481,81,221,72.0,0,1.0,0,0,1,13307.0,0,0,0,11450,0,0,11520,13310,0,2,,1,0,1,1,0
11378,17011596,439.10926564,73,400,78.0,0,1.5,1,1,2,15691.333333,0,0,0,25020,0,0,24740,23540,0,1,,0,920,0,3,1
11379,17011597,458.81115385,46,111,43.0,0,1.9,1,1,4,19425.263158,0,0,0,0,0,10,31460,36910,30360,2,,6,540,5,2,1
11380,17011598,501.00344714,65,221,78.0,0,1.5,0,0,2,17020.0,0,0,0,25530,0,0,25730,25530,0,1,,1,0,2,3,0
11381,17011599,914.70257721,34,111,38.0,0,1.0,1,1,1,28024.0,0,0,0,0,0,40,31680,28020,30550,1,,10,240,8,1,1
11382,17011600,516.71947434,80,111,78.0,0,1.5,0,0,2,13853.333333,0,0,0,20780,0,0,20940,20780,0,1,4.0,5,0,4,3,0
11383,17011601,416.96270455,72,300,74.0,0,1.0,0,0,1,19106.0,0,0,0,19850,0,0,20470,19110,0,1,,0,210,0,1,0
11384,17011602,386.80746389,66,111,72.0,0,1.0,0,0,1,16321.0,0,0,0,16820,0,0,16960,16320,0,2,,9,600,7,1,0
11385,17011603,438.3197844,71,111,75.0,0,1.0,0,0,1,37437.0,0,0,0,37540,0,0,40190,37440,0,2,,10,1340,8,1,0
11386,17011604,403.06302995,66,111,72.0,0,1.0,0,0,1,17772.0,0,0,0,18400,0,70,19050,17770,0,2,,4,420,4,1,0
11387,17011605,226.23733591,52,111,62.0,0,2.5,2,2,4,15057.2,0,0,0,0,0,0,36390,37640,35130,1,,7,640,5,4,2
11388,17011606,448.58535052,47,111,46.0,0,1.0,1,1,1,22172.0,0,0,0,0,0,0,24140,22170,23290,1,,8,640,7,1,1
11389,17011607,514.01072188,38,111,56.0,0,1.0,1,1,1,18732.0,0,0,0,0,0,0,20560,18730,19850,2,1.0,9,540,7,1,1
11390,17011608,498.0040786,47,300,47.0,0,1.8,2,2,3,29064.444444,0,0,0,0,0,0,57670,52320,55670,1,,0,840,0,4,2
11391,17011609,322.35222144,82,111,78.0,0,1.0,0,0,1,12887.14,0,0,4690,4960,0,0,4990,12890,0,2,,7,0,6,1,0
11392,17011610,1327.1091236,33,211,42.0,0,1.0,1,1,1,17649.0,0,0,0,0,0,0,19150,17650,18480,1,4.0,1,340,3,1,1
11393,17011611,387.21505648,51,111,64.0,0,3.3,2,2,6,13337.575758,0,0,0,0,0,0,33010,44010,31870,1,3.0,9,170,7,4,2
11394,17011612,722.2753778,47,111,45.0,0,1.0,1,1,1,21293.0,0,0,0,0,0,0,23840,21290,25110,1,4.0,10,480,8,1,1
11395,17011613,382.66162783,66,111,74.0,0,1.5,0,0,2,64195.333333,0,0,0,122840,0,30,127330,96290,590,1,2.0,9,2890,7,3,0
11396,17011614,561.97301079,65,111,56.0,0,1.0,1,1,1,21842.0,0,0,0,15640,0,10,25840,21840,3930,2,4.0,9,750,7,1,1
11397,17011615,451.19237286,62,400,78.0,0,1.0,0,0,1,18047.0,0,0,0,7680,0,0,17450,18050,7750,2,,0,0,0,1,0
11398,17011616,276.1632091,89,112,78.0,0,1.0,0,0,1,13036.0,0,0,0,13280,0,0,13360,13040,0,2,,8,250,0,1,0
11399,17011617,412.30244387,53,212,65.0,0,2.0,3,2,3,17810.5,0,0,0,0,0,0,36990,35620,35700,1,2.0,2,190,0,4,3
11400,17011618,535.35584064,30,120,85.0,0,1.0,0,0,1,12794.0,9720,0,0,0,0,0,0,12790,0,2,,0,0,3,1,0
11401,17011619,610.58962777,52,111,68.0,0,1.0,1,0,1,8826.0,0,5820,0,0,0,0,80,8830,80,2,,8,0,7,1,1
11402,17011620,654.22686945,49,112,22.0,0,1.3,1,1,2,21440.769231,0,0,0,0,0,80,34330,27870,0,1,,9,1140,0,2,1
11403,17011621,480.60006086,54,300,52.0,0,1.0,1,0,1,12729.0,4860,0,0,0,0,0,7830,12730,0,2,,0,0,0,1,1
11404,17011622,1005.2439316,45,111,52.0,0,1.6,1,1,3,14706.25,0,0,0,0,0,0,19010,23530,18350,2,,10,500,8,2,1
11405,17011623,397.91350677,58,111,68.0,0,1.0,1,1,1,16114.0,0,0,0,0,0,0,16890,16110,8330,2,,8,610,7,1,1
11406,17011624,885.75448741,47,211,43.0,0,1.0,1,1,1,28951.0,0,0,0,0,0,0,32230,28950,31110,2,,2,390,3,1,1
11407,17011625,632.86248316,56,112,78.0,0,1.0,0,0,1,14581.0,11880,0,0,0,0,0,0,14580,0,2,4.0,10,0,3,1,0
11408,17011626,408.07568522,54,112,12.0,0,2.0,3,3,3,17068.5,0,0,0,0,0,3290,32300,34140,11720,1,,9,380,0,4,3
11409,17011627,508.28411859,81,211,74.0,0,1.0,0,0,1,28278.0,0,0,0,32070,0,0,33080,28280,0,1,,2,590,3,1,0
11410,17011628,804.59810866,28,111,46.0,1650,1.8,1,1,3,12520.555556,0,0,0,0,0,0,16210,22540,15640,1,4.0,8,150,6,4,1
11411,17011629,374.65319868,70,112,74.0,0,1.5,0,0,2,32568.666667,0,0,0,52680,0,0,54330,48850,0,1,2.0,10,860,0,3,0
11412,17011630,469.84241863,79,111,74.0,0,1.5,0,0,2,18873.333333,0,0,0,28290,0,0,28660,28310,0,1,,8,610,7,3,0
11413,17011631,839.06225236,24,111,46.0,0,1.5,2,2,2,36042.666667,0,0,0,0,0,0,62840,54060,60650,1,5.0,10,860,8,3,2
11414,17011632,534.82093783,59,111,47.0,0,1.0,1,1,1,27955.0,0,0,0,0,0,0,31880,27960,30770,2,,9,520,7,1,1
11415,17011633,345.37540016,47,111,64.0,0,2.4,2,1,5,13918.75,0,0,0,0,0,0,24210,33410,23040,1,,8,290,7,4,2
11416,17011634,340.50882102,61,112,13.0,0,1.5,2,1,2,163914.0,0,0,0,0,0,16150,201940,245870,27680,1,,8,660,0,3,2
11417,17011635,382.68055846,63,111,77.0,0,1.0,0,0,1,29055.0,0,0,0,19880,0,10,22120,29060,0,2,,7,710,6,1,0
11418,17011636,340.52814505,55,112,67.0,0,2.0,3,3,3,37939.0,0,0,0,0,0,0,82700,75880,79820,1,,7,330,0,4,3
