,age_vehicule,depenses_carburants_corrigees_entd,depenses_diesel_corrigees_entd,depenses_essence_corrigees_entd,distance_diesel,distance_essence,distance,ident_men,vp_deplacements_pro,vp_domicile_travail,aides_logement,bat_49_74,bat_ap_74,bat_av_49,froid_cout,froid_impaye,froid_installation,froid_isolation,froid,isolation_fenetres,isolation_murs,isolation_toit,log_indiv,majorite_double_vitrage,ouest_sud,paris,petite_ville,rural,revdecm
9692,7,1438.3806682799038,1344.580555133242,93.80011314666189,14334.530205,1000.0,15334.530205,15386,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,153700
9693,1,2163.166050362739,1876.0022629332373,287.16378742950167,20000.0,3061.4439343,23061.4439343,154,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,68930
9694,4,2066.8822242527517,0.0,2066.8822242527517,0.0,22034.96515,22034.96515,15415,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,56130
9695,14,1284.5243528278718,0.0,0.0,0.0,0.0,13694.272957,15421,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,95780
9696,10,1414.2566850275618,1414.2566850275618,0.0,17471.629098,0.0,17471.629098,15478,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,35830
9697,4,1623.4132735066073,0.0,1623.4132735066073,0.0,17307.1568791,17307.1568791,15487,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,78140
9698,10,1359.944871653294,0.0,0.0,0.0,0.0,14498.328691,15498,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,44780
9699,6,1226.6582180762769,1226.6582180762769,0.0,13077.363949,0.0,13077.363949,15517,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,16180
9700,5,1570.1197884550045,1570.1197884550045,0.0,16738.996743,0.0,16738.996743,15524,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,101350
9701,4,2013.985927703009,791.1787786038456,0.0,9774.1678129,0.0,24880.6426089,15538,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,91340
9702,4,1932.626403175493,1932.626403175493,0.0,23875.53268,0.0,23875.53268,15542,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,109830
9703,0,0.0,0.0,0.0,0.0,0.0,0.0,15546,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,146530
9704,4,2299.431398186635,2299.431398186635,0.0,24514.1644402,0.0,24514.1644402,15556,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,147440
9705,2,1638.663077234388,1638.663077234388,0.0,20243.930119,0.0,20243.930119,15566,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,1.0,80550
9706,3,3832.901953001795,3832.901953001795,0.0,47351.4051592,0.0,47351.4051592,15573,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,136020
9707,15,3843.300270677248,1306.5972006221955,2536.7030700550526,16141.611287,31338.2539683,47479.8652553,15598,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,81630
9708,5,458.0102098158002,0.0,458.0102098158002,0.0,4882.8321678,4882.8321678,15605,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,52210
9709,13,1366.782479864779,0.0,1366.782479864779,0.0,14571.224213,14571.224213,1561,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,67440
9710,4,358.3773413800002,0.0,358.3773413800002,0.0,3820.6493506,3820.6493506,15614,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,49470
9711,3,1351.0548160372384,1351.0548160372384,0.0,14403.552093,0.0,14403.552093,15663,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,208050
9712,10,1767.0612601646328,1767.0612601646328,0.0,18838.583461,0.0,18838.583461,15686,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,13270
