,aba,agepr,aise,ancons,depenses_combustibles_liquides,depenses_combustibles_solides,depenses_electricite,depenses_gaz_liquefie,depenses_gaz_ville,depenses_tot,dip14pr,htl,ident_men,identifiant_menage,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_04_5_0_0,poste_04_5_5_1,poste_04_5_5_2,revtot,stalog,surfhab_d,zeat,fioul,gaz_ville,electricite,strate,rural,petite_ville,moyenne_ville,grande_ville,paris,bat_av_49,bat_49_74,bat_ap_74,log_indiv,log_colec,ouest_sud,est_nord,aides_logement,depenses_energies,part_energies_depenses_tot,part_energies_revtot,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_2,donation_class_3,donation_class_4
2560,,34,2.0,9.0,0.0,0.0,666.4526688448732,33.61779897673119,0.0,48554.5,20.0,1.0,13264,201702560,2,4.0,1,3,1.8,2384.9993338,0,0,0.0,60920.0,3,90.0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,700.0704678216043,0.01441824069492229,0.011491636044346755,33844.444444444445,9,5,9,9_1,9_0,9_0_0
2561,2.0,34,1.0,8.0,0.0,0.0,558.5508081747508,0.0,1008.5339693019357,79784.95000000001,20.0,2.0,13267,201702561,2,4.0,1,3,1.8,2927.6495989,0,0,0.0,97505.0,1,82.0,1,0,1,1,4,0,0,0,0,1,0,0,1,0,1,0,1,0,1567.0847774766867,0.019641358144320283,0.016071840187443585,54169.444444444445,10,5,10,10_0,10_4,10_0_0
2562,,53,3.0,1.0,0.0,0.0,1904.1504824139233,0.0,0.0,31049.605846749997,50.0,1.0,13268,201702562,2,4.0,2,4,2.1,2270.4220352,0,0,0.0,51531.0,3,80.0,8,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1904.1504824139233,0.06132607582241606,0.03695155309258356,24538.571428571428,7,4,7,7_1,7_1,7_1_0
2563,2.0,74,3.0,4.0,0.0,0.0,399.8716013069239,0.0,151.28009539529035,21340.72,71.0,2.0,13269,201702563,0,4.0,0,1,1.0,1935.6350406,0,0,0.0,22433.0,1,76.0,2,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,551.1516967022142,0.02582629342881656,0.02456879136549789,22433.0,6,3,6,6_0,6_2,6_0_1
2564,2.0,83,1.0,5.0,2825.0318733365702,0.0,401.9873240651616,137.2726791549857,0.0,27374.30263402,50.0,1.0,1327,201702564,0,5.0,0,2,1.5,1866.773078,0,0,0.0,45295.0,1,150.0,5,1,0,1,2,0,0,1,0,0,0,0,1,1,0,1,0,0,3364.2918765567174,0.12289963771992758,0.0742751269799474,30196.666666666668,8,4,8,8_1,8_2,8_0_0
2565,2.0,24,4.0,4.0,1356.0152992015537,0.0,1375.2197928545002,0.0,0.0,33641.66,43.0,1.0,13270,201702565,2,3.0,0,2,1.5,2263.991876,0,0,0.0,36287.0,2,80.0,7,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,2731.235092056054,0.08118609759613686,0.07526759148058682,24191.333333333332,7,4,7,7_1,7_1,7_0_1
2566,2.0,49,1.0,1.0,0.0,0.0,888.6035584598309,0.0,2101.1124360456993,79642.38782924999,12.0,1.0,13271,201702566,3,11.0,5,7,3.8,1216.4845869,0,0,0.0,126770.0,1,250.0,5,0,1,1,3,0,0,0,1,0,1,0,0,1,0,1,0,0,2989.71599450553,0.037539256117174166,0.02358378160846833,33360.52631578947,9,5,9,9_1,9_3,9_1_0
2567,,32,3.0,9.0,0.0,0.0,732.3912121948683,0.0,1333.0410753713163,27528.33632238,50.0,1.0,13272,201702567,2,4.0,0,2,1.5,1253.3062653,0,0,0.0,43227.0,3,83.0,2,0,1,1,2,0,0,1,0,0,0,0,1,1,0,0,1,0,2065.4322875661846,0.07502931755040454,0.04778106941416672,28818.0,8,4,8,8_1,8_2,8_0_0
2568,2.0,46,2.0,1.0,0.0,0.0,401.9873240651616,0.0,1030.945835286423,43652.36,30.0,1.0,13273,201702568,1,4.0,2,3,1.8,714.89659692,0,0,0.0,38678.0,2,80.0,3,0,1,1,3,0,0,0,1,0,1,0,0,1,0,0,1,0,1432.9331593515847,0.032826018097339635,0.037047757364692714,21487.777777777777,6,3,6,6_1,6_3,6_1_0
2569,2.0,59,2.0,1.0,1423.8160641616314,0.0,1200.1857551899616,147.07787052319895,840.5294541283198,37539.732178390004,31.0,1.0,13274,201702569,2,5.0,0,2,1.5,1823.0302755,0,0,0.0,38134.0,1,100.0,9,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,3611.609144003112,0.09620764279405697,0.09470837425927288,25422.666666666668,7,4,7,7_1,7_0,7_1_0
2570,,37,4.0,2.0,0.0,0.0,317.35841373565387,0.0,350.18540600761656,5809.799999999999,60.0,2.0,13275,201702570,1,4.0,1,2,1.3,869.04623066,0,0,0.0,13960.0,3,70.0,2,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,667.5438197432704,0.11489962128528874,0.047818325196509345,10738.461538461537,1,1,1_0,1_0_0,1_2_0,1_0_1_0
2571,,45,2.0,9.0,0.0,0.0,870.6199150148104,0.0,0.0,20992.36,20.0,2.0,13276,201702571,1,3.0,1,2,1.5,650.81401654,0,0,0.0,29423.0,3,75.0,3,0,0,1,3,0,0,0,1,0,0,0,1,0,1,0,1,0,870.6199150148104,0.04147317952887671,0.029589773816905498,19615.333333333332,5,3,5,5_0,5_3,5_0_0
2572,2.0,60,3.0,6.0,0.0,519.6171287729916,1269.4336549426155,100.85339693019357,0.0,62460.380000000005,50.0,1.0,13277,201702572,0,5.0,0,1,1.0,2577.9892032,0,0,0.0,38669.0,1,96.0,8,0,0,1,2,0,0,1,0,0,0,0,1,1,0,0,1,0,1889.9041806458006,0.03025764781843787,0.04887388297203964,38669.0,9,5,9,9_1,9_2,9_0_0
2573,,47,3.0,5.0,0.0,890.7722207536998,418.9131061310631,46.224473593005385,0.0,7299.599999999999,42.0,2.0,13278,201702573,1,3.0,0,1,1.0,2519.3351028,0,0,0.0,18335.0,3,63.0,2,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1355.9098004777682,0.185751246709103,0.07395199348119816,18335.0,4,2,4_0,4_0_0,4_1_0,4_0_0_0
