,aba,agepr,ancons,coml13,depenses_combustibles_liquides,depenses_combustibles_solides,depenses_electricite,depenses_energies,depenses_gaz_liquefie,depenses_gaz_ville,dip14pr,gchauf_2,gchauf_6,gchauf_7,gchaufs_1,gchaufs_2,gchaufs_3,gchaufs_4,gchaufs_5,htl,iaatcd,iaatr,idlog,isolation_fenetres,isolation_murs,isolation_toit,kusa_5,majorite_double_vitrage,mtypmena,nactifs,nbphab,npers,ocde10,plus_14,plus_18,pondmen,poste_04_5_1_1_1,revtot,soc,stalog,surfhab_d,zeat,fioul,gaz_ville,electricite,strate,rural,petite_ville,moyenne_ville,grande_ville,paris,bat_av_49,bat_49_74,bat_ap_74,log_indiv,log_colec,ouest_sud,est_nord,froid,froid_installation,froid_cout,froid_isolation,froid_impaye,aides_logement,part_energies_revtot,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_2,donation_class_3,donation_class_4
12,2,39.0,1,0.0,0.0,0.0,0.0,1062.0,0.0,0.0,71,0,0,0,0,0,0,0,0,2,,1,100013,2,3,0,0,2,42,1.0,2.0,3.0,1.8,2,2,941.520155281586,0.0,4964.976344483319,2,3,24.0,1,0,0,0,4,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.21389830007548952,2758.3201913796215,1,1,1_0,1_0_0,1_4_0,1_1_0_0
13,2,80.0,2,,0.0,0.0,,1100.0,219.38941192125992,,41,0,0,0,0,0,0,0,0,1,,2,100014,2,3,0,0,2,21,0.0,5.0,3.0,2.0,3,3,109.42352573634496,900.0,101523.43875309105,0,1,120.0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.010834936380309603,50761.71937654552,10,5,10,10_1,10_2,10_0_1
15,2,58.0,7,0.0,0.0,131.74291718691754,1882.1059642875427,1549.0,59.235141218740175,0.0,41,0,0,0,0,0,0,0,0,1,,5,100016,2,1,2,0,1,43,2.0,5.0,2.0,1.5,2,2,1178.17904416494,1402.0,51322.478058759676,0,1,105.0,9,0,0,1,3,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.030181707091900992,34214.98537250645,9,5,9,9_1,9_3,9_0_0
16,2,82.0,6,0.0,0.0,0.0,1859.2844226378363,1455.0,76.78629417244098,0.0,41,0,0,0,0,0,0,0,0,1,,4,100017,2,1,3,0,1,11,0.0,4.0,1.0,1.0,1,1,468.361503888333,1385.0,32788.16414159587,0,1,120.0,3,0,0,1,3,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.04437576906461046,32788.16414159587,8,4,8,8_1,8_3,8_0_0
17,2,38.0,9,0.0,0.0,141.659050738621,1017.5722688516101,1410.0,0.0,826.1574223904561,43,0,0,0,0,0,0,0,0,1,2005.0,6,100018,2,1,1,0,1,43,2.0,4.0,4.0,2.1,2,2,1935.88474853752,758.0,38788.59566291179,1,2,110.0,2,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.03635089066522172,18470.759839481805,4,2,4_0,4_1_0,4_1_0,4_0_0_0
18,2,65.0,2,0.0,0.0,0.0,382.59643353919375,638.0,0.0,528.3216849707082,44,0,0,0,0,0,0,0,0,2,,2,100019,2,1,0,1,1,21,1.0,3.0,2.0,1.5,2,2,827.39468158592,285.0,49047.132922209945,2,3,69.0,1,0,1,1,4,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.01300789591538174,32698.08861480663,8,4,8,8_0,8_4,8_0_1
19,2,48.0,2,0.0,0.0,0.0,1033.68159236905,2770.0,0.0,2993.323994168319,50,0,0,0,0,0,0,0,0,1,,2,100020,2,1,2,0,1,42,1.0,5.0,4.0,2.5,4,3,371.826343154008,770.0,36243.31955632806,1,2,120.0,3,0,1,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0764278778519436,14497.327822531224,3,2,3_0,3_1_0,3_2_0,3_0_1_0
20,1,35.0,9,,0.0,0.0,,843.0,69.10766475519688,,50,0,0,0,0,0,0,0,0,1,2004.0,6,100021,2,1,0,0,1,43,2.0,4.0,5.0,2.5999999999999996,3,2,124.94988069845103,780.0,33045.45147978916,2,3,78.0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.02551031873526028,12709.78903068814,2,1,2_1,2_1_1,2_2_1,2_0_0_1
21,2,66.0,5,0.0,0.0,0.0,324.8713576017014,382.0,0.0,209.53267959178234,50,1,2,2,2,1,2,2,2,2,,3,100022,2,1,0,1,1,42,1.0,3.0,3.0,1.8,2,2,328.132580706263,242.0,37074.48031288623,2,3,87.0,8,0,1,1,3,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0.010303583402279697,20596.933507159018,5,3,5,5_0,5_3,5_0_0
22,2,75.0,5,,0.0,0.0,,300.0,0.0,,70,0,0,0,0,0,0,0,0,2,,3,100023,2,1,0,0,2,11,0.0,5.0,1.0,1.0,1,1,95.53004154152597,300.0,22397.0,2,3,80.0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.013394651069339644,22397.0,6,3,6,6_0,6_2,6_0_0
23,2,29.0,1,0.0,0.0,0.0,724.9195582847882,590.0,54.84735298031498,0.0,10,2,2,2,2,2,2,2,1,1,,1,100024,1,3,1,0,1,12,1.0,2.0,1.0,1.0,1,1,1416.9310448544,540.0,28682.503692746883,3,4,24.0,5,0,0,1,2,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0.02057003134455089,28682.503692746883,8,4,8,8_1,8_2,8_1_0
24,2,81.0,1,0.0,0.0,0.0,444.3488403560461,2108.0,0.0,2659.5683688185513,50,0,0,0,0,0,0,0,0,1,,1,100025,1,2,3,0,2,11,0.0,7.0,1.0,1.0,1,1,475.219224783082,331.0,37149.37341236669,0,1,150.0,3,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0.05674389111764308,37149.37341236669,9,5,9,9_1,9_1,9_1_0
25,0,44.0,1,,0.0,0.0,,780.0,0.0,,31,0,0,0,0,0,0,0,0,2,,1,100026,1,3,0,0,2,43,2.0,4.0,3.0,2.0,3,2,114.07250125807525,780.0,29569.254065628815,5,0,60.0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.02637875132963428,14784.627032814407,3,2,3_0,3_0_0,3_2_0,3_1_0_0
26,2,66.0,5,0.0,0.0,424.977152215863,2133.142922434312,1889.0,0.0,0.0,50,0,0,0,0,0,0,0,0,1,,3,100027,2,1,1,0,1,11,0.0,7.0,1.0,1.0,1,1,1400.14821213217,1589.0,23544.035162387627,0,1,113.0,4,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.08023263586599377,23544.035162387627,6,3,6,6_1,6_0,6_0_0
27,2,77.0,1,0.0,0.0,0.0,0.0,1521.0,0.0,0.0,71,0,0,0,0,0,0,0,0,1,,1,100028,2,2,1,0,1,11,0.0,3.0,1.0,1.0,1,1,1195.46070716084,0.0,12850.522498728906,0,1,64.0,5,0,0,0,3,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.11836094603549761,12850.522498728906,2,1,2_0,2_1_0,2_3_0,2_1_0_0
28,2,26.0,2,0.0,0.0,0.0,0.0,1192.0,0.0,0.0,43,0,0,0,0,0,0,0,0,1,,2,100029,2,1,2,0,1,43,2.0,6.0,2.0,1.5,2,2,769.790142644799,0.0,43277.762783054015,1,2,110.0,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.027543013394092163,28851.841855369345,8,4,8,8_1,8_1,8_0_1
29,2,32.0,7,0.0,0.0,0.0,698.070685755722,520.0,0.0,0.0,10,0,0,0,0,0,0,0,0,2,,5,100030,2,1,0,0,1,12,1.0,2.0,1.0,1.0,1,1,1006.61016736885,520.0,27617.38599373983,1,2,37.0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.018828718985854455,27617.38599373983,7,4,7,7_0,7_1,7_0_0
30,2,39.0,5,0.0,0.0,0.0,268.4887252906623,1000.0,0.0,1197.3295976673276,43,2,2,2,2,1,2,2,2,2,,3,100031,2,3,0,0,1,32,1.0,2.0,2.0,1.3,1,1,740.307935606965,200.0,19042.351972579883,2,3,57.0,1,0,1,1,4,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0.05251452139105266,14647.963055830678,3,2,3_0,3_0_0,3_4_0,3_0_0_0
31,2,28.0,1,0.0,0.0,0.0,322.1864703487948,240.0,0.0,0.0,43,0,0,0,0,0,0,0,0,2,,1,100032,2,2,0,1,1,43,2.0,2.0,2.0,1.5,2,2,1271.16179578926,240.0,14223.051016484187,2,3,62.0,4,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.01687401667348627,9482.034010989459,1,1,1_0,1_0_0,1_2_0,1_1_0_0
32,2,75.0,7,,0.0,0.0,,486.0,138.21532951039376,,71,0,0,0,0,0,0,0,0,1,,5,100033,1,1,0,0,2,21,1.0,4.0,2.0,1.5,2,2,144.93057417762722,360.0,25279.387575281802,0,1,50.0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.019225149286259253,16852.925050187867,4,2,4_0,4_1_0,4_2_0,4_0_0_0
33,2,52.0,2,0.0,0.0,0.0,939.710538517318,790.0,0.0,134.69957973757434,10,2,2,1,2,1,2,2,2,2,,2,100034,2,1,0,1,1,12,1.0,7.0,1.0,1.0,1,1,420.168300727513,700.0,31963.373997175164,1,2,110.0,7,0,1,1,2,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0.02471578876716263,31963.373997175164,8,4,8,8_0,8_2,8_0_1
34,1,67.0,2,0.0,0.0,0.0,402.73308793599347,600.0,0.0,448.99859912524784,50,0,0,0,0,0,0,0,0,2,,2,100035,1,3,0,1,2,11,0.0,3.0,1.0,1.0,1,1,416.699207535929,300.0,11609.11009174312,2,3,70.0,5,0,1,1,2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.051683548115091515,11609.11009174312,2,1,2_1,2_0_1,2_2_1,2_0_1_1
35,2,58.0,7,,0.0,0.0,,720.0,76.78629417244098,,20,0,0,0,0,0,0,0,0,1,,5,100036,2,1,0,0,2,42,2.0,5.0,3.0,2.0,3,3,106.73118193470862,650.0,80204.53879921019,0,1,150.0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.008977048067098793,40102.269399605095,9,5,9,9_1,9_3,9_0_0
36,0,77.0,5,,0.0,0.0,,420.0,151.37869422566934,,71,0,0,0,0,0,0,0,0,1,,3,100037,2,2,0,0,2,11,0.0,2.0,1.0,1.0,1,1,90.6682895346284,180.0,12647.211120218746,5,0,34.0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.03320890242185944,12647.211120218746,2,1,2_0,2_1_0,2_2_0,2_0_0_0
37,1,46.0,2,0.0,0.0,0.0,402.73308793599347,900.0,0.0,897.9971982504957,41,1,2,2,2,1,1,2,2,2,,2,100038,1,2,0,1,1,42,1.0,4.0,5.0,2.4,2,2,813.378131276705,300.0,18850.6023158979,2,3,65.0,4,0,1,1,3,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0.04774383252682453,7854.4176316241255,1,1,1_1,1_0_1,1_3_1,1_0_1_1
38,2,75.0,5,0.0,0.0,849.954304431726,1014.8873815987035,1476.0,131.63364715275594,0.0,70,0,0,0,0,0,0,0,0,1,,3,100039,2,1,1,0,2,41,0.0,4.0,2.0,1.5,2,2,790.231135029868,756.0,17840.927864922323,0,1,89.0,7,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.08273112313300787,11893.951909948215,2,1,2_0,2_1_0,2_0_0,2_0_0_0
39,2,34.0,5,0.0,0.0,0.0,402.73308793599347,624.0,0.0,0.0,20,0,0,0,0,0,0,0,0,2,,3,100040,2,1,0,1,1,12,1.0,1.0,1.0,1.0,1,1,1291.27424179319,300.0,16191.966057995072,2,3,24.0,1,0,0,1,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0.038537630190491216,16191.966057995072,4,2,4_0,4_0_0,4_4_0,4_0_0_0
40,1,47.0,7,0.0,0.0,0.0,281.9131615551954,480.0,0.0,404.09873921272305,50,0,0,0,0,0,0,0,0,2,,5,100041,2,1,0,0,1,12,1.0,1.0,1.0,1.0,1,1,357.253200636657,210.0,10015.242189913559,2,3,34.0,2,0,1,1,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.04792694883438888,10015.242189913559,2,1,2_1,2_0_1,2_2_1,2_0_0_1
41,2,32.0,1,0.0,0.0,0.0,0.0,2364.0,0.0,0.0,20,0,0,0,0,0,0,0,0,3,,1,100042,2,2,0,0,1,43,2.0,3.0,2.0,1.5,2,2,309.552515825038,0.0,19294.188305392523,2,3,57.0,4,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.12252394154043199,12862.792203595016,2,1,2_0,2_0_0,2_2_0,2_1_0_0
42,2,28.0,2,0.0,0.0,0.0,805.4661758719869,752.0,0.0,0.0,43,0,0,0,0,0,0,0,0,2,,2,100043,2,1,0,1,1,12,1.0,3.0,1.0,1.0,1,1,1011.9248015449,600.0,23887.094671933817,1,2,65.0,1,0,0,1,4,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0.03148143423584969,23887.094671933817,6,3,6,6_0,6_4,6_0_1
43,2,70.0,2,0.0,0.0,141.659050738621,2684.887252906623,4800.0,0.0,4040.9873921272306,20,0,0,0,0,0,0,0,0,1,,2,100044,2,1,1,0,1,41,0.0,10.0,3.0,2.0,3,3,469.130096996674,2000.0,104662.37645898697,0,1,220.0,3,0,1,1,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.04586175245008821,52331.188229493484,10,5,10,10_1,10_3,10_0_1
44,2,69.0,2,0.0,0.0,0.0,536.9774505813245,1500.0,0.0,1646.3281967925755,31,0,0,0,0,0,0,0,0,1,,2,100045,2,2,2,0,1,41,0.0,4.0,3.0,2.0,3,3,832.039499608805,400.0,63887.01383214294,0,1,77.0,1,0,1,1,4,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0.023478949946558896,31943.50691607147,8,4,8,8_1,8_4,8_0_1
