"","X","aba","agepr","aise","ancons","depenses_combustibles_liquides","depenses_combustibles_solides","depenses_electricite","depenses_gaz_liquefie","depenses_gaz_ville","depenses_tot","dip14pr","htl","ident_men","identifiant_menage","nactifs","nbphab","nenfants","npers","ocde10","pondmen","poste_04_5_0_0","poste_04_5_5_1","poste_04_5_5_2","revtot","stalog","surfhab_d","zeat","fioul","gaz_ville","electricite","strate","rural","petite_ville","moyenne_ville","grande_ville","paris","bat_av_49","bat_49_74","bat_ap_74","log_indiv","log_colec","ouest_sud","est_nord","aides_logement","depenses_energies","part_energies_depenses_tot","part_energies_revtot","niveau_vie","niveau_vie_decile","niveau_vie_quintile","donation_class_1","donation_class_2","donation_class_3","donation_class_4","froid_cout","froid_impaye","froid_installation","froid_isolation","froid","gchauf_2","gchauf_6","gchauf_7","gchaufs_1","gchaufs_2","gchaufs_3","gchaufs_4","gchaufs_5","isolation_fenetres","isolation_murs","isolation_toit","majorite_double_vitrage"
"442",443,NA,60,4,4,0,0,0,0,0,17358.92,10,1,1056,201700443,1,4,1,2,1.3,3275.4715048,0,0,0,1580,5,93,9,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1215.38461538462,1,1,"1_0","1_1_0","1_0_0","1_0_1_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
"454",455,2,44,4,99,0,2939.54832848721,1129.79595289893,0,0,18189.74050819,71,1,10577,201700455,1,4,3,6,2.9,3580.8158259,0,0,0,22520,1,100,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,4069.34428138614,0.223716455963399,0.180699124395477,7765.51724137931,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"456",457,NA,35,4,2,0,0,1057.86137911885,0,840.44497441828,13370.76,44,2,1058,201700457,1,2,0,1,1,3433.4825231,0,0,0,8490,3,47,2,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1898.30635353713,0.141974454222282,0.223593210075044,8490,1,1,"1_0","1_0_0","1_0_0","1_0_1_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"518",520,2,44,3,7,0,742.310183961416,1375.2197928545,44.8237319689749,0,63646.3,43,1,10661,201700520,1,4,2,4,2.5,3520.4146902,0,0,0,24618,1,100,7,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2162.35370878489,0.0339745391135838,0.0878362868139122,9847.2,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"564",566,NA,56,2,1,0,0,0,0,0,11261.67344411,30,1,10719,201700566,2,3,0,2,1.5,2510.3443218,0,0,0,8387,5,60,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5591.33333333333,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
"579",581,2,68,3,9,0,0,1988.77939274343,42.022248720914,0,17367.74,70,1,10740,201700581,0,5,0,1,1,2600.3752107,0,0,0,7835,2,100,9,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2030.80164146434,0.116929528048229,0.259196125266668,7835,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"581",583,2,60,3,1,2260.02549866926,445.38611037685,125.885504115143,0,0,24204.61987708,50,1,10742,201700583,2,4,0,2,1.5,2279.9249792,0,0,0,12060,1,100,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2831.29711316125,0.116973417783036,0.234767588155991,8040,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"590",592,NA,56,4,99,0,0,655.874055053685,210.11124360457,0,5494.96,50,1,10756,201700592,0,4,2,4,2.3,1106.2879919,0,0,0,10442,3,63,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,865.985298658255,0.15759628799086,0.0829328958684404,4540,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"703",705,2,63,4,1,0,371.155091980708,412.56593785635,50.4266984650968,0,24743.9508753,70,1,10894,201700705,0,5,0,1,1,4096.4819669,0,0,0,9842,1,100,9,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,834.147728302155,0.0337111778351783,0.0847538842005847,9842,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"716",718,2,69,2,1,2219.34503969321,0,583.939481273603,84.044497441828,0,7336.09672205,50,1,10914,201700718,0,3,0,1,1,1953.28412,0,0,0,9613,1,100,9,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2887.32901840864,0.393578373868796,0.30035670637768,9613,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1
"736",738,2,60,2,1,0,1046.6573593856,1269.43365494262,210.11124360457,0,41000.56,60,1,10938,201700738,3,5,1,3,2,2031.728632,0,0,0,10917,1,156,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2526.20225793278,0.0616138476628803,0.231400774748812,5458.5,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
"749",751,NA,46,3,1,0,0,1586.79206867827,3501.85406007617,0,51442.97157058,50,1,10953,201700751,2,7,2,4,2.3,2867.8307117,0,0,0,25061,3,200,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,5088.64612875443,0.0989181995789802,0.203050402168885,10896.0869565217,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2
"759",761,2,34,3,4,0,296.924073584567,149.158454455757,336.177989767312,0,19615.84,10,1,10965,201700761,1,2,0,2,1.5,1672.0192302,0,0,0,5060,1,60,9,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,782.260517807636,0.0398790221477967,0.154596940278189,3373.33333333333,1,1,"1_0","1_1_0","1_0_0","1_0_1_0",1,0,0,0,1,2,2,2,2,1,2,2,2,1,2,2,1
"764",766,2,54,4,1,0,0,1089.59722049241,189.100119244113,0,30053.68,50,1,10970,201700766,2,4,0,2,1.5,1448.3112841,0,0,0,8596,1,130,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1278.69733973652,0.0425471136891231,0.148754925516115,5730.66666666667,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2
"790",792,NA,34,4,99,0,0,1375.2197928545,78.4415309457061,0,10054.46,50,1,11008,201700792,1,3,2,3,1.6,668.10663189,0,0,0,12994,3,55,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1453.66132380021,0.144578756472273,0.111871734939219,8121.25,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1
"870",873,NA,44,4,5,0,0,592.402372306554,0,0,9262.18,50,8,11110,201700873,0,2,0,1,1,5147.1018681,0,0,0,3274,3,28,5,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,592.402372306554,0.0639592808935428,0.180941469855392,3274,1,1,"1_0","1_0_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1
"892",895,2,80,3,1,282.503187333657,371.155091980708,139.637702043688,462.244735930054,0,8522.8,70,1,11141,201700895,0,3,0,1,1,2799.5359265,0,0,0,10860,1,59,7,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1255.54071728811,0.147315520402697,0.115611484096511,10860,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"965",968,2,46,3,9,0,0,2228.57354834534,0,205.402162255301,55413.76,50,1,11233,201700968,1,8,2,3,2,1040.2120741,0,0,0,20938,1,240,2,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2433.97571060065,0.0439236700523597,0.116246810134714,10469,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"997",1000,NA,60,4,5,0,0,423.144551647538,50.4266984650968,0,5069.44,71,2,11273,201701000,1,2,0,1,1,2720.1462668,0,0,0,8782,3,50,7,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,473.571250112635,0.0934168764424937,0.053925216364454,8782,1,1,"1_0","1_0_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
"1033",1037,NA,77,4,5,0,0,277.987905358636,0,505.971795031448,18744.91767804,71,1,11318,201701037,0,4,0,2,1.5,2547.1085839,0,0,0,14850,3,70,9,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,783.959700390085,0.0418225203148535,0.0527918990161673,9900,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
"1206",1210,NA,56,3,1,0,0,338.515641318031,0,4976.83499018025,17249.94,71,5,11539,201701210,2,5,0,2,1.5,1586.9431673,0,0,0,13164,3,147,5,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,5315.35063149828,0.308137340274707,0.403779294401267,8776,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"1217",1221,NA,53,3,99,0,0,290.911879257683,0,930.09243835623,23043.68378614,71,2,11553,201701221,1,4,2,3,2,863.15237618,0,0,0,21383,3,77,9,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1221.00431761391,0.0529865072332014,0.0571016376380261,10691.5,1,1,"1_0","1_0_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1
"1238",1242,2,75,3,1,0,0,729.924351592004,0,0,7719.8,71,1,11579,201701242,0,3,0,1,1,3206.6939563,0,0,0,9280,5,60,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,729.924351592004,0.0945522360154413,0.0786556413353452,9280,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"1300",1305,2,52,4,1,0,0,2132.64854030359,168.088994883656,0,13522.0308753,50,1,11660,201701305,2,5,1,3,2,2185.5392924,0,0,0,15040,1,100,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,2300.73753518725,0.170147336328738,0.152974570158727,7520,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"1420",1425,2,84,3,1,0,0,0,84.044497441828,0,17464.0911913,71,1,11822,201701425,0,4,0,1,1,2151.3064632,0,0,0,10376,1,92,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,84.044497441828,0.00481241746399584,0.00809989373957479,10376,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
"1631",1637,2,53,9,1,0,0,476.037620603481,56.0296649612186,0,13287.96,31,1,12080,201701637,1,3,0,1,1,1534.0865794,0,0,0,5820,1,60,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,532.067285564699,0.0400413069850225,0.0914204958014947,5820,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,1,1,1,1,2,2,2,2,1,2,2,2,1,3,4,2
"1647",1653,2,68,3,5,0,0,789.164588822659,84.044497441828,0,16162.64,50,2,12100,201701653,1,1,0,1,1,3000.1751935,0,0,0,8955,1,50,9,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,873.209086264487,0.0540263896408314,0.0975107857358445,8955,1,1,"1_0","1_0_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1
"1660",1666,2,84,4,1,0,0,380.830096482785,1460.97351386378,0,9797.527127683,50,1,1212,201701666,0,4,0,1,1,2326.64263,0,0,0,9620,1,84,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1841.80361034656,0.187986579301478,0.191455676751202,9620,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2
"1669",1675,NA,54,4,1,1695.01912400194,0,1586.79206867827,168.088994883656,0,41531.84,50,5,12131,201701675,2,6,0,2,1.5,2090.474547,0,0,0,12470,3,113,7,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,3449.90018756387,0.0830663940620947,0.27665598937962,8313.33333333333,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"1706",1712,2,60,3,2,0,1855.77545990354,288.67974787243,0,525.432248686504,23439.22,71,1,12175,201701712,0,3,0,2,1.5,2526.1056244,0,0,0,14790,1,70,4,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,2669.88745646247,0.113906838899182,0.180519773932554,9860,1,1,"1_0","1_1_0","1_0_0","1_0_1_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"1737",1744,2,43,3,10,0,311.770277263795,687.60989642725,0,0,54179.48,31,1,12217,201701744,2,6,3,5,2.8,2032.6830649,0,0,0,27387,2,75,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,999.380173691045,0.0184457321054216,0.0364910422350402,9781.07142857143,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
"1756",1763,NA,53,5,1,81.3609179520932,0,2835.06849603851,0,0,6666.52,71,1,12237,201701763,1,3,0,1,1,3050.7592511,0,0,0,8700,3,60,9,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2916.4294139906,0.437474036527394,0.335221771723058,8700,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"1779",1786,NA,22,4,9,0,0,634.716827471308,168.088994883656,0,8969.69665845,71,1,12268,201701786,2,3,4,6,2.7,1997.0539386,0,0,0,25590,3,70,9,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,802.805822354964,0.0895020035709537,0.0313718570674077,9477.77777777778,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2
"1854",1861,NA,52,5,99,0,0,1433.40216870604,182.096411123961,0,4396,50,1,12364,201701861,2,3,2,3,2,168.46211417,0,0,0,14696,3,70,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1615.49857983,0.367492852554594,0.109927774893168,7348,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"1915",1922,NA,26,2,99,0,0,444.301779229915,0,1092.57846674376,34956.48,60,1,12439,201701922,1,4,2,4,2.1,3122.8598509,0,0,0,22966,3,85,2,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1536.88024597368,0.0439655321695342,0.0669198051891352,10936.1904761905,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2
"2032",2039,NA,46,4,3,0,0,1470.4273169752,0,0,21004.290875302,31,8,12596,201702039,1,5,2,3,1.8,229.30862144,0,0,0,17341,3,85,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1470.4273169752,0.0700060442747061,0.0847948398001959,9633.88888888889,1,1,"1_0","1_0_0","1_0_0","1_0_1_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"2035",2042,NA,63,4,9,0,742.310183961416,740.502965383192,126.066746162742,0,30546.92,50,1,1260,201702042,0,5,1,3,2,2085.5407781,0,0,0,20279,3,110,4,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1608.87989550735,0.0526691363812571,0.0793372402735515,10139.5,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1
"2084",2092,NA,33,3,2,1808.0203989354,0,370.251482691596,89.6474639379498,0,37620.48,71,1,12658,201702092,2,4,2,4,2.1,3647.8041712,0,0,0,17394,3,90,5,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2267.91934556495,0.060284168239346,0.130385152671321,8282.85714285714,1,1,"1_0","1_1_0","1_0_0","1_0_1_0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2
"2222",2230,NA,93,3,9,0,668.079165565275,1904.15048241392,151.28009539529,0,12027,71,3,1283,201702230,0,3,0,2,1.5,3542.898375,0,0,0,15110,5,80,9,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2723.50974337449,0.226449633605595,0.180245515775942,10073.3333333333,1,1,"1_0","1_0_0","1_0_0","1_0_0_0",0,0,0,0,1,2,2,1,1,2,2,2,2,2,1,2,1
"2236",2244,NA,25,4,9,0,0,740.502965383192,0,0,8227.34,60,1,12845,201702244,1,5,3,4,1.9,2464.5368639,0,0,0,15390,3,110,4,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,740.502965383192,0.0900051493414873,0.0481158522016369,8100,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1
"2269",2277,2,52,3,6,0,0,3173.58413735654,109.257846674376,0,36093.08,42,1,12889,201702277,2,4,0,2,1.5,2484.4370305,0,0,0,15399,1,85,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,3282.84198403091,0.0909548862006489,0.213185400612437,10266,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
"2281",2289,NA,56,4,7,0,0,846.289103295077,0,0,6351.34784975,50,1,12906,201702289,1,3,0,1,1,2630.8466809,0,0,0,9078,3,70,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,846.289103295077,0.133245591851561,0.0932241796976291,9078,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"2295",2303,NA,54,2,1,0,0,0,0,0,7655.2711913,50,8,12925,201702303,1,1,0,1,1,3489.078777,0,0,0,3540,3,850,9,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3540,1,1,"1_0","1_0_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
"2301",2309,NA,62,3,1,904.010199467702,0,452.764670262866,134.471195906925,0,11764.88,50,1,12930,201702309,0,3,0,1,1,2454.6427562,0,0,0,8586,3,70,5,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1491.24606563749,0.126754039619401,0.173683445799848,8586,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1
"2349",2357,NA,40,3,99,0,0,2196.12022305072,98.0519136821326,0,40558.88,50,1,12989,201702357,1,5,4,6,3.1,2175.0441467,0,0,0,21422,3,113,9,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2294.17213673286,0.0565639913314386,0.107094208604839,6910.32258064516,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,1,0,1,2,2,1,1,1,2,2,2,1,2,4,2
"2474",2485,2,57,4,1,2034.02294880233,0,210.51441444465,98.0519136821326,0,13642.76,31,1,13169,201702485,1,6,0,1,1,2723.4780821,0,0,0,9971,1,234,7,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2342.58927692911,0.171709337181708,0.234940254430761,9971,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
"2565",2576,2,58,4,1,0,593.848147169133,952.075241206962,0,0,22598.2911913,41,1,13284,201702576,2,7,1,3,2,2818.3914211,0,0,0,9933,2,130,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1545.92338837609,0.0684088622139382,0.15563509396719,4966.5,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,1,1,2,2,2,2,2,2,2,1,1,2,3,2
"2582",2593,NA,46,4,9,0,0,1586.79206867827,0,0,41013.97400794,50,1,13301,201702593,1,5,2,4,2.5,3284.0150238,0,0,0,21171,3,90,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1586.79206867827,0.0386890592062861,0.0749512100835232,8468.4,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
"2583",2594,2,49,3,7,983.111091921126,0,851.578410190671,217.114951724722,0,30141.66,50,1,13302,201702594,3,6,3,4,2.5,874.53266245,0,0,0,16995,1,130,5,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2051.80445383652,0.0680720455952499,0.120729888428157,6798,1,1,"1_0","1_1_0","1_0_0","1_0_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
"2718",2730,2,60,2,1,0,0,748.965856416143,0,0,12947.32417758,50,1,13481,201702730,0,6,0,1,1,2597.5130397,0,0,0,4337,1,120,5,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,748.965856416143,0.0578471540639321,0.172692150430284,4337,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
"2731",2743,NA,62,4,1,0,0,1004.9683101629,151.28009539529,0,17563.14,41,1,13497,201702743,0,4,0,1,1,3089.7266941,0,0,0,10869,3,80,9,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1156.24840555819,0.0658338090773173,0.106380385091379,10869,1,1,"1_0","1_1_0","1_0_0","1_1_0_0",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1
